@relation 'MultiLabelData-weka.filters.unsupervised.attribute.Remove-V-R61,88,84,96,79,23,97,62,87,57,60,24,104-117'

@attribute Att61 numeric
@attribute Att88 numeric
@attribute Att84 numeric
@attribute Att96 numeric
@attribute Att79 numeric
@attribute Att23 numeric
@attribute Att97 numeric
@attribute Att62 numeric
@attribute Att87 numeric
@attribute Att57 numeric
@attribute Att60 numeric
@attribute Att24 numeric
@attribute Class1 {0,1}
@attribute Class2 {0,1}
@attribute Class3 {0,1}
@attribute Class4 {0,1}
@attribute Class5 {0,1}
@attribute Class6 {0,1}
@attribute Class7 {0,1}
@attribute Class8 {0,1}
@attribute Class9 {0,1}
@attribute Class10 {0,1}
@attribute Class11 {0,1}
@attribute Class12 {0,1}
@attribute Class13 {0,1}
@attribute Class14 {0,1}

@data
-0.202705,-0.02756,-0.047175,-0.014259,-0.133636,0.093299,-0.015024,-0.028543,-0.006062,-0.07573,-0.178029,0.105475,0,0,0,0,0,0,1,1,0,0,0,1,1,0
-0.018508,-0.090718,0.009323,-0.085811,-0.020209,0.05308,0.111123,-0.042825,-0.090224,0.025664,0.019016,-0.008138,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.026966,-0.092214,0.130691,-0.08947,0.001711,-0.061547,-0.009162,0.051128,-0.023051,0.018361,-0.031345,-0.029578,0,1,1,0,0,0,0,0,0,0,0,1,1,0
0.052497,-0.008553,-0.010558,-0.075716,-0.154732,0.225613,0.196605,-0.092266,-0.077455,-0.192852,-0.126046,0.176576,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.106298,-0.066453,0.117205,-0.057209,0.095516,0.039762,0.028047,0.092366,0.01485,0.065499,0.066596,0.006744,0,0,1,1,1,1,0,0,0,0,0,0,0,0
-0.006563,-0.018859,0.095942,0.012218,0.028306,-0.003909,-0.038346,-0.007014,-0.050507,-0.025028,0.059662,0.023979,0,0,0,0,0,0,0,0,0,1,1,1,1,0
-0.188271,0.183801,0.198816,0.024075,-0.180997,0.096399,0.039718,-0.121936,0.131097,-0.018386,-0.028625,0.020458,1,0,0,0,0,0,0,0,0,0,0,1,1,0
-0.071472,-0.089821,0.074937,-0.123843,0.000925,-0.005391,0.005166,-0.025932,-0.155029,-0.004107,-0.037524,-0.075087,1,0,1,1,0,0,0,0,0,0,0,1,1,0
-0.100993,-0.03622,-0.056851,0.074257,0.027029,-0.035914,-0.023072,-0.041568,-0.019658,-0.070061,-0.024762,-0.052768,1,1,0,0,0,0,0,0,0,0,0,1,1,0
0.025829,-0.095511,-0.124112,-0.089552,-0.153042,0.100252,0.077943,-0.074287,-0.068185,-0.045318,-0.139521,0.008856,0,0,1,1,0,0,0,0,0,0,0,1,1,0
0.068958,-0.027831,-0.036091,-0.038872,0.226076,-0.192916,-0.019147,0.159794,-0.031826,-0.075224,0.172033,-0.182874,0,0,0,0,1,1,1,1,0,0,0,0,0,0
0.109505,0.074264,0.084413,0.151475,0.035562,-0.034335,-0.120316,-0.009877,0.13184,-0.046917,0.138401,0.007767,0,0,0,0,0,0,0,0,0,1,1,1,1,0
0.061968,-0.042663,-0.066114,-0.031422,0.116888,-0.112656,-0.004289,-0.064895,0.100348,-0.053766,-0.031585,-0.039296,0,1,1,0,0,0,0,0,0,0,0,0,0,0
-0.284726,-0.051512,-0.080266,-0.02848,-0.200038,0.18489,0.078892,-0.12567,-0.02617,0.019626,-0.091138,0.184762,0,0,0,1,1,0,0,0,0,0,0,1,1,0
-0.082752,-0.04608,-0.067216,0.160094,-0.019797,0.063445,0.109922,-0.112151,-0.033294,0.010493,-0.045506,0.070263,0,0,0,0,0,0,0,1,1,0,0,0,0,0
-0.010793,-0.031741,-0.051685,-0.01971,0.069557,0.024126,0.043736,-0.013233,0.002972,0.04485,-0.123551,0.181663,1,0,1,1,0,0,0,0,0,1,1,1,1,0
0.155701,-0.028315,-0.053852,-0.008479,0.061307,-0.002322,0.002837,0.264677,-0.033991,0.024457,0.165049,-0.053858,0,0,0,0,1,1,0,0,0,0,0,1,1,0
0.101472,-0.005048,0.000447,-0.035025,0.358907,-0.010426,0.015635,-0.142354,-0.062004,-0.092485,0.094184,0.05141,1,1,0,0,0,0,0,0,0,0,0,1,1,0
-0.294384,-0.045222,-0.050468,-0.023337,-0.072218,0.159858,0.044136,-0.181409,-0.003912,-0.202466,-0.116602,0.185194,0,0,0,1,1,0,0,0,0,0,0,1,1,0
-0.057664,-0.056494,-0.08592,-0.049948,-0.244405,-0.041841,0.068613,-0.084207,-0.047847,0.080128,-0.122427,0.070457,0,0,1,1,0,0,0,0,0,0,0,1,1,0
-0.082477,0.058079,0.002573,-0.037236,0.071768,0.180699,0.12732,-0.031005,-0.056154,-0.223974,-0.186271,0.158872,0,0,1,1,0,0,0,0,0,0,0,1,1,0
0.032497,-0.005812,0.126461,0.049206,0.102606,-0.049944,0.050137,-0.007408,0.080421,-0.035545,0.061961,0.010868,1,1,0,0,0,0,0,0,0,0,0,1,1,0
-0.014465,-0.003476,-0.124053,0.132752,0.229521,-0.037889,-0.133852,0.116295,0.112919,0.085241,0.105364,-0.029014,0,0,0,0,1,1,1,1,0,0,0,0,0,0
-0.207138,-0.081492,0.113787,-0.028682,-0.030367,-0.045669,0.295476,-0.231408,0.023819,0.059176,-0.055629,-0.047256,0,0,0,0,1,1,1,1,0,0,1,1,1,0
0.026034,-0.002811,0.109719,-0.092977,0.005808,-0.053286,-0.129028,-0.023487,-0.133054,0.020927,-0.039833,-0.136493,0,1,1,0,1,1,0,0,0,0,0,1,1,0
0.022105,0.054462,-0.098526,-0.067992,0.026684,0.016125,-0.071761,0.004771,0.060524,0.018836,-0.029883,0.043382,0,1,1,0,0,0,0,0,1,1,0,1,1,0
0.163369,0.24733,0.259429,0.13418,0.256046,-0.118145,-0.06067,0.028315,-0.023784,0.022141,0.27851,-0.202512,1,1,0,0,0,1,1,1,0,0,0,1,1,0
0.070652,-0.026528,-0.044489,-0.01413,0.140777,-0.129554,-0.013932,0.058878,-0.008207,0.087939,0.053131,-0.208976,0,0,0,0,1,1,1,1,0,0,0,1,1,0
-0.068442,-0.057855,-0.080399,-0.049221,-0.091106,-0.105418,-0.052682,-0.051064,-0.048274,0.045958,-0.06037,-0.010521,1,1,0,0,1,1,0,0,0,0,0,0,0,0
0.082109,0.258628,0.238142,0.178532,-0.052498,0.02152,-0.063742,0.059896,-0.066324,-0.171769,0.077518,0.050716,1,0,0,0,0,1,1,0,0,0,0,0,0,0
-0.206789,-0.107458,-0.136606,-0.082249,-0.102773,0.114426,0.202032,-0.131944,-0.00226,-0.142825,-0.031725,0.006614,0,0,0,1,1,0,0,0,0,0,0,1,1,0
0.092378,-0.050556,0.071939,-0.042075,0.088922,-0.073415,-0.045235,0.117072,-0.040608,0.005864,0.053109,0.283261,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0.054078,-0.007788,0.119821,-0.02126,-0.041051,0.091944,-0.075722,0.05727,-0.069367,0.185237,0.02964,0.03939,1,1,1,1,0,0,0,0,0,0,0,1,1,0
0.068576,-0.054698,0.006317,0.082822,0.161024,0.109933,-0.045728,-0.100423,-0.037607,-0.096071,-0.0578,-0.056575,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.014573,-0.028321,-0.051055,-0.012832,-0.07692,-0.095568,-0.016162,-0.070066,-0.003124,0.1627,0.098885,-0.045894,0,1,1,0,1,1,0,0,0,1,1,1,1,0
0.014064,-0.079523,0.007042,-0.077059,0.003198,0.131204,-0.02522,-0.042551,0.007327,-0.068376,-0.157596,0.004544,0,0,1,1,0,0,0,0,0,0,0,1,1,0
0.000912,-0.034003,-0.056677,-0.01372,-0.162311,0.098233,-0.019405,0.239345,-0.004603,0.200685,-0.127942,0.099212,0,1,1,0,0,0,1,1,0,0,0,1,1,0
0.08869,0.242908,0.285832,-0.021351,-0.117634,0.037771,-0.019542,-0.067613,-0.044685,-0.188367,-0.080673,0.018767,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.055184,0.003494,-0.067818,-0.054315,-0.024518,0.088236,0.111151,-0.028828,-0.03942,-0.047874,-0.097781,0.074972,0,0,0,0,0,1,1,0,0,0,1,1,0,0
0.018723,0.086841,-0.071205,-0.040931,0.016167,-0.204791,0.222802,-0.044915,-0.039001,0.001214,-0.0234,-0.134685,1,1,0,0,1,1,0,0,0,0,0,1,1,0
-0.018622,-0.041469,-0.077309,0.021441,-0.039687,-0.044824,-0.033678,-0.100844,-0.033217,0.09614,-0.007526,-0.076822,1,1,1,0,0,0,0,0,0,0,0,1,1,0
0.005169,0.257811,0.237417,0.144591,0.017775,-0.149918,-0.055574,-0.011755,0.007097,0.114308,0.142412,-0.152872,1,1,0,0,0,1,1,1,0,0,0,1,1,0
-0.036501,-0.05578,-0.079165,-0.045868,-0.059211,-0.00825,-0.049435,-0.031211,-0.04387,-0.094306,-0.062273,0.056689,1,1,1,0,0,0,0,0,0,0,0,1,1,0
-0.261546,-0.051868,-0.082336,-0.039314,-0.141495,0.173038,0.114154,-0.161668,-0.025352,-0.20297,-0.088539,0.153116,0,0,0,1,1,0,0,0,0,0,0,1,1,0
0.064,-0.074316,-0.117422,-0.061991,0.091865,-0.067871,0.171123,-0.076655,-0.084892,0.131302,-0.022391,-0.118755,0,0,1,1,1,1,0,0,0,0,0,1,1,0
0.087034,-0.072422,0.175229,-0.027142,0.004925,-0.042742,-0.06867,0.008734,0.068585,0.003829,0.061253,0.005368,0,0,0,0,1,1,0,1,1,0,0,0,0,0
0.112753,0.08342,0.131489,-0.12079,0.08773,-0.123183,0.26954,0.013014,-0.05254,0.022978,0.168531,-0.035728,0,0,0,0,1,1,0,0,0,0,0,0,0,0
-0.051028,-0.098362,-0.10199,-0.031874,-0.088092,0.073191,0.182187,-0.05226,-0.025337,0.041739,0.083786,0.043538,0,0,0,0,1,1,1,1,1,0,0,1,1,0
0.116849,-0.062211,0.041272,-0.036551,0.057187,-0.164074,-0.076568,0.144378,-0.072607,0.152201,0.179591,-0.225087,0,1,1,1,0,0,0,0,0,1,1,1,1,0
0.111597,-0.058719,0.208975,-0.048068,0.380697,-0.117816,-0.051941,0.086386,0.329808,-0.10134,-0.019926,-0.048194,1,1,0,0,0,0,0,0,0,0,0,1,1,0
-0.090288,0.06569,0.089467,0.085107,0.002169,0.147164,-0.138666,-0.056053,0.014609,-0.079188,-0.290659,0.138214,0,0,1,1,0,0,0,1,1,0,0,0,0,0
0.008903,-0.117873,0.186152,-0.115807,0.046728,-0.029963,0.085637,0.065106,-0.124484,-0.002714,0.120953,-0.011713,0,0,0,0,1,1,1,1,0,0,0,1,1,0
-0.067701,0.052446,-0.076829,0.199126,-0.068049,-0.047242,-0.044419,0.005844,0.039453,0.122835,0.032298,-0.036862,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0.033023,0.106095,0.056796,0.079611,0.187994,-0.085628,-0.143902,0.03095,0.000907,0.208258,0.110628,-0.083323,0,0,1,1,0,0,0,0,0,0,0,1,1,0
-0.117616,-0.052359,-0.070972,-0.037822,-0.098887,-0.028772,0.06258,-0.172368,-0.007039,-0.129239,0.006992,0.047564,0,0,0,0,0,1,1,1,0,1,1,1,1,0
-0.078519,0.093671,0.097167,0.068983,-0.082554,0.16243,-0.134658,-0.0091,-0.049368,-0.123329,-0.221531,0.110233,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.081976,0.010564,0.312476,0.283809,-0.168823,-0.03978,-0.087625,0.154598,-0.086434,0.199891,0.042383,-0.047555,1,0,0,0,0,1,1,1,0,0,0,1,1,0
-0.023015,-0.057741,-0.099687,-0.059658,-0.023138,0.029754,0.094371,0.161451,-0.049288,0.235539,0.005549,0.015239,0,1,1,0,0,0,0,0,0,0,0,1,1,0
0.181927,-0.08201,0.015135,-0.087178,-0.034458,0.012251,-0.002148,0.161898,-0.089776,-0.017398,0.111543,-0.149947,0,1,1,0,0,0,0,0,1,1,0,1,1,0
-0.281053,0.00599,0.000449,-0.091748,-0.130285,0.193732,0.081761,-0.19887,0.039926,-0.184996,-0.096111,0.13622,0,0,0,1,1,0,0,0,0,0,0,1,1,0
-0.037973,-0.033647,-0.054863,-0.018919,-0.124678,0.027999,-0.020434,-0.097212,0.021144,0.123199,-0.085877,0.15708,0,1,1,0,0,0,1,1,0,0,0,1,1,0
0.072927,-0.058278,-0.003198,-0.048533,-0.00697,0.002762,0.376712,0.043999,-0.046862,0.140237,-0.01303,0.003145,0,1,1,0,0,0,0,1,1,1,1,0,0,0
0.090308,0.156981,-0.050503,0.264338,0.047878,-0.069629,-0.043807,0.037388,-0.026041,0.07935,0.147625,-0.147868,0,0,0,0,0,0,0,0,0,1,1,1,1,0
-0.028026,0.048192,0.073478,0.059649,-0.009269,-0.065668,-0.177118,0.130285,0.084692,0.028902,0.060839,-0.105556,0,0,0,0,1,1,1,0,0,0,0,1,1,0
-0.003735,0.061291,-0.068794,-0.074405,0.211659,-0.142,-0.00854,0.015491,0.020293,-0.027623,0.043892,-0.16508,1,1,0,0,1,1,0,0,0,0,0,1,1,0
-0.132447,-0.08318,-0.109611,0.048508,-0.033741,0.010038,0.127289,-0.100335,-0.079096,0.044804,-0.149274,0.048274,1,1,0,0,0,0,0,1,1,0,0,0,0,0
0.101413,-0.05778,-0.017922,-0.033553,0.15808,-0.153198,-0.022964,0.051197,0.253638,-0.001053,0.05903,-0.089096,0,0,0,0,0,1,1,1,0,0,1,1,1,0
0.036951,0.247456,0.298054,-0.041519,0.333089,-0.111488,-0.045878,0.05242,0.310533,-0.089579,0.022349,-0.091665,1,1,0,0,0,0,0,0,0,0,0,1,1,0
-0.090663,-0.034234,-0.055548,-0.015608,-0.073722,-0.037157,-0.019619,-0.175653,-0.005812,0.0062,-0.073144,0.018872,1,1,0,0,1,1,0,0,0,0,0,1,1,0
-0.058012,-0.074161,-0.108669,-0.089291,-0.066965,-0.050915,0.003327,0.009387,-0.092793,0.182045,-0.06052,-0.049182,0,1,1,0,0,0,0,0,0,0,0,1,1,0
0.067293,-0.042071,-0.070645,-0.024066,-0.032269,0.064045,-0.006858,0.032879,-0.010253,0.112823,-0.14447,0.0523,0,0,1,1,0,0,0,0,0,1,1,1,1,0
0.072225,-0.029312,-0.084032,0.322765,-0.050617,0.135566,-0.086816,0.101219,0.108852,0.015316,0.086075,0.113995,0,0,1,1,0,0,1,1,0,0,0,1,1,0
0.021732,0.204652,-0.084698,-0.054915,0.148675,-0.185948,-0.058373,0.044594,-0.055174,0.047161,-0.013329,-0.161523,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.158361,-0.063903,-0.092652,-0.050662,-0.110946,0.18697,0.150454,-0.122399,-0.015886,-0.209741,-0.237128,0.166676,0,0,0,1,1,0,0,0,0,0,0,1,1,0
0.010095,-0.032736,-0.053058,-0.017186,-0.018844,-0.091855,-0.013232,0.103174,-0.008305,0.11047,0.133108,-0.010328,0,1,1,1,0,0,0,0,0,0,0,1,1,0
0.083417,0.442165,-0.048377,-0.027844,0.247767,-0.145944,-0.031282,0.014026,-0.01397,0.023578,0.107366,-0.058266,1,1,0,0,0,0,0,0,0,0,0,1,1,0
-0.001712,0.19175,0.044886,-0.016095,-0.013791,-0.06416,-0.005644,0.080151,0.06194,-0.049042,-0.014279,0.065377,0,1,1,0,0,0,0,0,0,1,1,0,0,0
-0.137778,-0.074232,-0.086537,-0.0634,-0.064433,0.044667,0.214562,-0.111246,-0.060303,0.081101,-0.209871,0.021514,0,0,0,0,1,1,0,0,0,0,0,1,1,0
0.028755,-0.090894,0.006261,-0.095835,-0.056995,0.058979,-0.086662,0.006241,-0.102625,-0.005815,0.064371,-0.069501,0,0,1,1,0,0,0,0,0,0,0,1,1,0
-0.035512,0.073066,0.078157,0.085139,-0.026253,-0.012418,-0.093815,0.053742,0.15935,-0.054911,0.004841,0.023408,1,1,0,0,0,0,0,0,0,0,0,1,1,0
-0.164684,-0.040258,-0.066386,-0.024199,-0.184615,0.214409,-0.027764,-0.096619,-0.012726,-0.163779,-0.083867,0.123563,0,0,0,1,1,0,0,0,0,0,0,1,1,0
-0.180552,0.116641,0.056537,0.173854,-0.154628,0.106933,-0.098149,-0.073344,0.125856,-0.057654,-0.093628,0.067676,0,0,0,0,1,1,0,0,0,0,0,1,1,0
